Malignant Cell,Cluster
N_N_P0728_04995,9
N_N_P0728_04996,9
N_N_P0728_04997,9
N_N_P0728_04999,9
N_N_P0728_05006,9
P_T_P0728_05242,9
N_T_P0728_05629,9
N_T_P0728_05632,9
N_T_P0728_05636,9
N_T_P0728_05637,9
N_T_P0728_05639,9
N_T_P0728_05641,9
N_N_P0825_06111,9
N_N_P0825_06113,9
N_N_P0825_06116,9
N_N_P0825_06122,9
N_N_P0825_06125,9
N_N_P0825_06129,9
N_N_P0825_06131,9
N_N_P0825_06132,9
N_N_P0825_06138,9
N_N_P0825_06141,9
N_N_P0825_06142,9
N_N_P0825_06143,9
N_N_P0825_06146,9
N_N_P0825_06148,9
N_N_P0825_06149,9
N_N_P0825_06151,9
N_N_P0825_06152,9
N_N_P0825_06153,9
N_N_P0825_06155,9
N_N_P0825_06158,9
N_N_P0825_06159,9
N_N_P0825_06164,9
N_N_P0825_06165,9
N_N_P0825_06170,9
N_N_P0825_06172,9
N_N_P0825_06174,9
N_N_P0825_06179,9
N_N_P0825_06184,9
N_N_P0825_06188,9
N_T_P0825_07746,9
N_T_P0825_07747,9
N_T_P0825_07748,9
N_T_P0825_07749,9
N_T_P0825_07750,9
N_T_P0825_07751,9
N_T_P0825_07752,9
N_T_P0825_07754,9
N_T_P0825_07755,9
N_T_P0825_07756,9
N_T_P0825_07759,9
N_T_P0825_07760,9
N_T_P0825_07762,9
N_T_P0825_07763,9
N_T_P0825_07764,9
N_T_P0825_07765,9
N_T_P0825_07766,9
N_T_P0825_07767,9
N_T_P0825_07769,9
N_T_P0825_07771,9
N_T_P0825_07772,9
N_T_P0825_07773,9
N_T_P0825_07774,9
N_T_P0825_07776,9
N_T_P0825_07777,9
N_T_P0825_07778,9
N_T_P0825_07781,9
N_T_P0825_07783,9
N_T_P0825_07785,9
N_T_P0825_07787,9
N_T_P0825_07788,9
N_T_P0825_07789,9
N_T_P0825_07790,9
N_T_P0825_07795,9
N_T_P0825_07796,9
N_T_P0825_07798,9
N_T_P0825_07799,9
N_T_P0825_07801,9
N_T_P0825_07803,9
N_T_P0825_07804,9
N_T_P0825_07805,9
N_T_P0825_07806,9
N_T_P0825_07807,9
N_T_P0825_07808,9
N_T_P0825_07810,9
N_T_P0825_07811,9
N_T_P0825_07812,9
N_T_P0825_07815,9
N_T_P0825_07817,9
N_T_P0825_07818,9
N_T_P0825_07819,9
N_T_P0825_07820,9
N_T_P0825_07821,9
N_T_P0825_07822,9
N_T_P0825_07823,9
N_T_P0825_07824,9
N_T_P0825_07825,9
N_T_P0825_07828,9
N_T_P0825_07829,9
N_T_P0825_07831,9
N_T_P0825_07832,9
N_T_P0825_07835,9
N_T_P0825_07836,9
N_T_P0825_07838,9
N_T_P0825_07839,9
N_T_P0825_07841,9
N_T_P0825_07844,9
N_T_P0825_07847,9
N_T_P0825_07848,9
N_T_P0825_07849,9
N_T_P0825_07850,9
N_T_P0825_07852,9
N_T_P0825_07853,9
N_T_P0825_07854,9
N_T_P0825_07855,9
N_T_P0825_07856,9
N_T_P0825_07857,9
N_T_P0825_07858,9
N_T_P0825_07859,9
N_T_P0825_07860,9
N_T_P0825_07861,9
N_T_P0825_07864,9
N_T_P0825_07865,9
N_T_P0825_07866,9
N_T_P0825_07868,9
N_T_P0825_07869,9
N_T_P0825_07871,9
N_T_P0825_07872,9
N_T_P0825_07874,9
N_T_P0825_07876,9
N_T_P0825_07878,9
N_T_P0825_07880,9
N_T_P0825_07881,9
N_T_P0825_07882,9
N_T_P0825_07883,9
N_T_P0825_07884,9
N_T_P0825_07885,9
N_T_P0825_07886,9
N_T_P0825_07887,9
N_T_P0825_07888,9
N_T_P0825_07889,9
N_T_P0825_07890,9
N_T_P0825_07891,9
N_T_P0825_07892,9
N_T_P0825_07893,9
N_T_P0825_07895,9
N_T_P0825_07896,9
N_T_P0825_07897,9
N_T_P0825_07900,9
N_T_P0825_07901,9
N_T_P0825_07902,9
N_T_P0825_07903,9
N_T_P0825_07905,9
N_T_P0825_07906,9
N_T_P0825_07907,9
N_T_P0825_07908,9
N_T_P0825_07911,9
N_T_P0825_07912,9
N_T_P0825_07915,9
N_T_P0825_07918,9
N_T_P0825_07919,9
N_T_P0825_07920,9
N_T_P0825_07921,9
N_T_P0825_07922,9
N_T_P0825_07925,9
N_T_P0825_07926,9
N_T_P0825_07929,9
N_T_P0825_07931,9
N_T_P0825_07932,9
N_T_P0825_07933,9
N_T_P0825_07934,9
N_T_P0825_07935,9
N_T_P0825_07936,9
N_T_P0825_07937,9
N_T_P0825_07938,9
N_T_P0825_07939,9
N_T_P0825_07940,9
N_T_P0825_07942,9
N_T_P0825_07943,9
N_T_P0825_07944,9
N_T_P0825_07945,9
N_T_P0825_07946,9
N_T_P0825_07947,9
N_T_P0825_07948,9
N_T_P0825_07949,9
N_T_P0825_07950,9
N_T_P0825_07951,9
N_T_P0825_07952,9
N_T_P0825_07953,9
N_T_P0825_07954,9
N_T_P0825_07955,9
N_T_P0825_07956,9
N_T_P0825_07957,9
N_T_P0825_07958,9
N_T_P0825_07959,9
N_T_P0825_07960,9
N_T_P0825_07962,9
N_T_P0825_07964,9
N_T_P0825_07965,9
N_T_P0825_07966,9
N_T_P0825_07967,9
N_T_P0825_07970,9
N_T_P0825_07971,9
N_T_P0825_07972,9
N_T_P0825_07974,9
N_T_P0825_07975,9
N_T_P0825_07976,9
N_T_P0825_07977,9
N_T_P0825_07978,9
N_T_P0825_07979,9
N_T_P0825_07980,9
N_P_P1212_08807,9
N_P_P1212_08808,9
N_P_P1212_08809,9
N_T_P1212_09447,9
N_T_P1212_09448,9
N_T_P1212_09458,9
N_T_P1212_09465,9
N_T_P1212_09467,9
N_T_P1212_09480,9
N_T_P1212_09487,9
N_T_P1212_09499,9
N_T_P1212_09520,9
N_T_P1212_09522,9
N_T_P1212_09530,9
N_T_P1212_09542,9
N_T_P1212_09549,9
N_T_P1228_11191,9
N_T_P1228_11194,9
N_T_P1228_11196,9
N_T_P1228_11197,9
N_T_P1228_11198,9
N_T_P1228_11203,9
N_T_P1228_11207,9
N_T_P1228_11209,9
